index,open,high,low,close,number_ticks
2022/5/1 0:00,38058.1,38071.99,38024.98,38056.4,5687
2022/5/1 0:10,38056.22,38062.34,37992.02,38001.98,5581
2022/5/1 0:20,38002.36,38032.16,37997.18,38000.98,6199
2022/5/1 0:30,37999.74,38000.98,37932.95,37947.92,5639
2022/5/1 0:40,37947.92,37970.05,37937.07,37942,5196
2022/5/1 0:50,37942,37965.41,37904.64,37964.91,5202
2022/5/1 1:00,37964.91,37996.74,37933.05,37990.66,5372
2022/5/1 1:10,37990.66,38170.77,37990.66,38082.54,6758
2022/5/1 1:20,38082.54,38121.58,38070.56,38112.35,5903
2022/5/1 1:30,38112.35,38142.8,38097.13,38112.84,6257
2022/5/1 1:40,38112.84,38129.94,38070.76,38077.48,5324
2022/5/1 1:50,38077.48,38096.49,38061.41,38075.07,5011
2022/5/1 2:00,38075.07,38161.49,38060.5,38118.39,5790
2022/5/1 2:10,38118.39,38121.55,38075.72,38090.78,5803
2022/5/1 2:20,38090.84,38115.2,38081.2,38082.87,5920
2022/5/1 2:30,38082.86,38091.54,38018.79,38041.91,5504
2022/5/1 2:40,38041.77,38063.18,38012,38026.76,5685
2022/5/1 2:50,38026.65,38029.44,37959.82,37963.5,5881
2022/5/1 3:00,37963.5,37986.17,37940.25,37952.38,5539
2022/5/1 3:10,37953.27,37969.43,37934.56,37940.48,5490
2022/5/1 3:20,37938.77,37957.47,37915.02,37947.14,5890
2022/5/1 3:30,37946.88,38000.54,37939.26,37993.73,5313
2022/5/1 3:40,37993.73,38007.2,37964.4,37977.63,5207
2022/5/1 3:50,37977.63,37988.81,37936.26,37974.26,5516
2022/5/1 4:00,37974.26,38031.25,37954.54,38018.29,5704
2022/5/1 4:10,38018.29,38054.42,38007.4,38039.27,5255
2022/5/1 4:20,38039.75,38045.73,38001.16,38013.25,4895
2022/5/1 4:30,38013.25,38048.43,37988.59,37998.79,5397
2022/5/1 4:40,37998.79,38032.27,37997.24,38031.97,5411
2022/5/1 4:50,38031.97,38069.06,38018.01,38046.31,5400
2022/5/1 5:00,38046.81,38069.81,38012.27,38021.95,5542
2022/5/1 5:10,38022.47,38024.65,37961.58,37962.38,5400
2022/5/1 5:20,37962.3,37992.02,37953.7,37967.94,5808
2022/5/1 5:30,37967.94,37968.98,37884.71,37914.34,5602
2022/5/1 5:40,37913.91,37978.89,37901.14,37976.66,5938
2022/5/1 5:50,37975.91,38007.56,37973.63,37985.09,5737
2022/5/1 6:00,37985.09,38014.74,37973.37,38005.25,5713
2022/5/1 6:10,38005.25,38033.94,37970,38028.5,6072
2022/5/1 6:20,38026.8,38081.21,38026.66,38066.18,6009
2022/5/1 6:30,38066.55,38081.64,38035.49,38053.62,5842
2022/5/1 6:40,38053.62,38056.91,38008.37,38009.18,5660
2022/5/1 6:50,38009.18,38095.07,37986.3,38032.03,5453
2022/5/1 7:00,38032.03,38042.01,38019.57,38024.35,5149
2022/5/1 7:10,38024.35,38032.04,37954.88,38015.9,5474
2022/5/1 7:20,38015.85,38064.7,37948.57,37954.66,5985
